id1, desc1, id5, desc5, x-coord, y-coord 
 1, "Agriculture, hunting and forestry", 111, "Growing of cereals and other crops n.e.c.", 271.7297, -119.7133
 1, "Agriculture, hunting and forestry", 112, "Growing of vegetables, horticultural specialities and nursery products", 208.5159, -168.8567
 1, "Agriculture, hunting and forestry", 113, "Growing of fruit, nuts, beverage and spice crops", 294.3041, -142.9379
 1, "Agriculture, hunting and forestry", 121, "Farming of cattle, dairy farming", 255.4449, -75.4153
 1, "Agriculture, hunting and forestry", 122, "Farming of sheep, goats, horses, asses, mules and hinnies", 173.6977, -110.3955
 1, "Agriculture, hunting and forestry", 123, "Farming of swine", 306.3831, -74.6513
 1, "Agriculture, hunting and forestry", 124, "Farming of poultry", 238.6105, -174.7485
 1, "Agriculture, hunting and forestry", 125, "Other farming of animals", 338.4314, -130.2468
 1, "Agriculture, hunting and forestry", 130, "Growing of crops combined with farming of animals (mixed farming)", 276.6582, -81.5271
 1, "Agriculture, hunting and forestry", 141, "Agricultural service activities; landscape gardening", 301.4500, -20.9917
 1, "Agriculture, hunting and forestry", 142, "Animal husbandry service activities, except veterinary activities", 254.2277, -57.6328
 1, "Agriculture, hunting and forestry", 150, "Hunting, trapping and game propagation, including related service activities", NaN, NaN
 1, "Agriculture, hunting and forestry", 201, "Forestry and logging", 336.3574, -55.7093
 1, "Agriculture, hunting and forestry", 202, "Forestry and logging related service activities", 325.6641, -74.8459
 2, "Fishing", 501, "Fishing", 46.3724, -104.7503
 2, "Fishing", 502, " Fish farming", 136.3639, -78.9530
 3, "Mining and quarrying", 1010, "Mining and agglomeration of hard coal", NaN, NaN
 3, "Mining and quarrying", 1020, "Mining and agglomeration of lignite", NaN, NaN
 3, "Mining and quarrying", 1030, "Extraction and agglomeration of peat", 251.2901, -19.5292
 3, "Mining and quarrying", 1110, "Extraction of crude petroleum and natural gas", NaN, NaN
 3, "Mining and quarrying", 1120, "Service activities incidental to oil and gas extraction, excluding surveying", NaN, NaN
 3, "Mining and quarrying", 1200, "Mining of uranium and thorium ores", NaN, NaN
 3, "Mining and quarrying", 1310, "Mining of iron ores", NaN, NaN
 3, "Mining and quarrying", 1320, "Mining of non-ferrous metal ores, except uranium and thorium ores", 160.2878, 164.6566
 3, "Mining and quarrying", 1411, "Quarrying of  ornamental and building stone", 318.3813, -7.6581
 3, "Mining and quarrying", 1412, "Quarrying of limestone, gypsum and chalk", 322.1117, 4.7645
 3, "Mining and quarrying", 1413, "Quarrying of slate", NaN, NaN
 3, "Mining and quarrying", 1421, "Operation of gravel and sand pits", 334.6058, 33.9399
 3, "Mining and quarrying", 1422, "Mining of clays and kaolin", NaN, NaN
 3, "Mining and quarrying", 1430, "Mining of chemical and fertilizer minerals", NaN, NaN
 3, "Mining and quarrying", 1440, "Production of salt", NaN, NaN
 3, "Mining and quarrying", 1450, "Other mining and quarrying n.e.c.", 360.3575, 1.3885
 4, "Manufacturing", 1511, "Production and preserving of meat", 255.1300, -105.9146
 4, "Manufacturing", 1512, "Production and preserving of poultrymeat", 233.7723, -157.8163
 4, "Manufacturing", 1513, "Production of meat and poultrymeat products", 187.8553, -183.8245
 4, "Manufacturing", 1520, "Processing and preserving of fish and fish products", 43.2678, -121.5029
 4, "Manufacturing", 1531, "Processing and preserving of potatoes", 88.6513, -210.6571
 4, "Manufacturing", 1532, "Manufacture of fruit and vegetable juice", 180.3988, -240.8557
 4, "Manufacturing", 1533, "Processing and preserving of fruit and vegetables n.e.c.", 108.4989, -187.9804
 4, "Manufacturing", 1541, "Manufacture of crude oils and fats", NaN, NaN
 4, "Manufacturing", 1542, "Manufacture of refined oils and fats", 272.8847, 136.1778
 4, "Manufacturing", 1543, "Manufacture of margarine and similar edible fats", NaN, NaN
 4, "Manufacturing", 1551, "Operation of dairies and cheese making", 151.9624, -121.3643
 4, "Manufacturing", 1552, "Manufacture of ice cream", -56.7319, -361.5158
 4, "Manufacturing", 1561, "Manufacture of grain mill products", 136.7718, -287.1182
 4, "Manufacturing", 1562, "Manufacture of starches and starch products", NaN, NaN
 4, "Manufacturing", 1571, "Manufacture of prepared feeds for farm animals", 249.5384, -120.5242
 4, "Manufacturing", 1572, "Manufacture of prepared pet foods", 238.2819, -199.1998
 4, "Manufacturing", 1581, "Manufacture of bread; manufacture of fresh pastry goods and cakes", 119.3307, -219.2556
 4, "Manufacturing", 1582, "Manufacture of rusks and biscuits; manufacture of preserved pastry goods and cakes", 127.9002, -161.5320
 4, "Manufacturing", 1583, "Manufacture of sugar", NaN, NaN
 4, "Manufacturing", 1584, "Manufacture of cocoa; chocolate and sugar confectionery", 79.7826, -252.4585
 4, "Manufacturing", 1585, "Manufacture of macaroni, noodles, couscous and similar farinaceous products", -152.7763, 118.5840
 4, "Manufacturing", 1586, "Processing of tea and coffee", 0.4889, -281.3251
 4, "Manufacturing", 1587, "Manufacture of condiments and seasonings", 135.6223, -232.7815
 4, "Manufacturing", 1588, "Manufacture of homogenized food preparations and dietetic food", 23.7806, 39.1209
 4, "Manufacturing", 1589, "Manufacture of other food products n.e.c.", 43.7132, -83.2871
 4, "Manufacturing", 1591, "Manufacture of distilled potable alcoholic beverages", -80.4932, -79.1165
 4, "Manufacturing", 1592, "Production of ethyl alcohol from fermented materials", -92.2215, 190.9154
 4, "Manufacturing", 1593, "Manufacture of wines", NaN, NaN
 4, "Manufacturing", 1594, "Manufacture of cider and other fruit wines", 49.4000, -55.4492
 4, "Manufacturing", 1595, "Manufacture of other non-distilled fermented beverages", -121.9575, -376.5145
 4, "Manufacturing", 1596, "Manufacture of beer", -93.8131, -62.2302
 4, "Manufacturing", 1597, "Manufacture of malt", 142.8011, 259.7835
 4, "Manufacturing", 1598, "Production of mineral waters and soft drinks", 107.7400, -151.9904
 4, "Manufacturing", 1600, "Manufacture of tobacco products", -421.9357, 82.9183
 4, "Manufacturing", 1711, "Preparation and spinning of cotton-type fibres", NaN, NaN
 4, "Manufacturing", 1712, "Preparation and spinning of woollen-type fibres", NaN, NaN
 4, "Manufacturing", 1713, "Preparation and spinning of worsted-type fibres", NaN, NaN
 4, "Manufacturing", 1714, "Preparation and spinning of flax-type fibres", NaN, NaN
 4, "Manufacturing", 1715, "Throwing and preparation of silk, including from noils, and throwing and texturing of synthetic or artificial filament yarns", NaN, NaN
 4, "Manufacturing", 1716, "Manufacture of sewing threads", -93.6046, 185.4947
 4, "Manufacturing", 1717, "Preparation and spinning of other textile fibres", NaN, NaN
 4, "Manufacturing", 1721, "Cotton-type weaving", NaN, NaN
 4, "Manufacturing", 1722, "Woollen-type weaving", -185.1871, -302.0095
 4, "Manufacturing", 1723, "Worsted-type weaving", NaN, NaN
 4, "Manufacturing", 1724, "Silk-type weaving", NaN, NaN
 4, "Manufacturing", 1725, "Other textile weaving", -400.9832, -74.3504
 4, "Manufacturing", 1730, "Finishing of textiles", -51.5234, -62.5184
 4, "Manufacturing", 1740, "Manufacture of made-up textile articles, except apparel", -62.7821, -136.8811
 4, "Manufacturing", 1751, "Manufacture of carpets and rugs", -41.0206, -50.6869
 4, "Manufacturing", 1752, "Manufacture of cordage, rope, twine and netting", -4.0769, -114.2809
 4, "Manufacturing", 1753, "Manufacture of non-wovens and articles made from non-wovens, except apparel", NaN, NaN
 4, "Manufacturing", 1754, "Manufacture of other textiles n.e.c.", -77.6408, -43.4604
 4, "Manufacturing", 1760, "Manufacture of knitted and crocheted fabrics", NaN, NaN
 4, "Manufacturing", 1771, "Manufacture of knitted and crocheted hosiery", NaN, NaN
 4, "Manufacturing", 1772, "Manufacture of knitted and crocheted pullovers, cardigans and similar articles", -123.7374, -293.0112
 4, "Manufacturing", 1810, "Manufacture of leather clothes", -307.8046, 182.8769
 4, "Manufacturing", 1821, "Manufacture of workwear", -180.5906, -304.3627
 4, "Manufacturing", 1822, "Manufacture of other outerwear", -167.8374, -289.6763
 4, "Manufacturing", 1823, "Manufacture of underwear", -176.0771, -307.4425
 4, "Manufacturing", 1824, "Manufacture of other wearing apparel and accessories n.e.c.", -183.3310, -315.5192
 4, "Manufacturing", 1830, "Dressing and dyeing of fur; manufacture of articles of fur", NaN, NaN
 4, "Manufacturing", 1910, "Tanning and dressing of leather", NaN, NaN
 4, "Manufacturing", 1920, "Manufacture of luggage, handbags and the like, saddlery and harness", 448.6435, -12.5956
 4, "Manufacturing", 1930, "Manufacture of footwear", NaN, NaN
 4, "Manufacturing", 2010, "Sawmilling and planing of wood; impregnation of wood", 327.2682, -24.1163
 4, "Manufacturing", 2020, "Manufacture of veneer sheets; manufacture of plywood, laminboard, particle board, fibre board and other panels and boards", 229.3552, 156.4115
 4, "Manufacturing", 2030, "Manufacture of builders' carpentry and joinery", 310.5918, 89.3591
 4, "Manufacturing", 2040, "Manufacture of wooden containers", 308.4269, -55.3325
 4, "Manufacturing", 2051, "Manufacture of other products of wood", 255.7555, 32.3327
 4, "Manufacturing", 2052, "Manufacture of articles of cork, straw and plaiting materials", NaN, NaN
 4, "Manufacturing", 2111, "Manufacture of pulp", NaN, NaN
 4, "Manufacturing", 2112, "Manufacture of paper and paperboard", -151.0280, 26.6964
 4, "Manufacturing", 2121, "Manufacture of corrugated paper and paperboard and of containers of paper and paperboard", -69.1950, -6.8811
 4, "Manufacturing", 2122, "Manufacture of household and sanitary goods and of toilet requisites", 45.7124, -221.0823
 4, "Manufacturing", 2123, "Manufacture of paper stationery", -151.6123, 20.5795
 4, "Manufacturing", 2124, "Manufacture of wallpaper", NaN, NaN
 4, "Manufacturing", 2125, "Manufacture of other articles of paper and paperboard n.e.c.", -49.7483, 72.9706
 4, "Manufacturing", 2211, "Publishing of books", -224.0471, -18.2808
 4, "Manufacturing", 2212, "Publishing of newspapers", -259.9987, 3.3343
 4, "Manufacturing", 2213, "Publishing of journals and periodicals", -275.3879, 2.4044
 4, "Manufacturing", 2214, "Publishing of sound recordings", NaN, NaN
 4, "Manufacturing", 2215, "Other publishing", -200.6361, 1.0404
 4, "Manufacturing", 2221, "Printing of newspapers", -216.4672, 18.0446
 4, "Manufacturing", 2222, "Printing n.e.c.", -118.7054, 21.3251
 4, "Manufacturing", 2223, "Bookbinding ", -92.6373, -107.6076
 4, "Manufacturing", 2224, "Pre-press activities", -212.7137, 1.4061
 4, "Manufacturing", 2225, "Ancillary activities related to printing", -210.7996, -5.1737
 4, "Manufacturing", 2231, "Reproduction of sound recording", -221.6320, 164.6599
 4, "Manufacturing", 2232, "Reproduction of video recording", NaN, NaN
 4, "Manufacturing", 2233, "Reproduction of computer media", -245.3953, 166.0384
 4, "Manufacturing", 2310, "Manufacture of coke oven products", NaN, NaN
 4, "Manufacturing", 2320, "Manufacture of refined petroleum products", -150.6051, 128.6486
 4, "Manufacturing", 2330, "Processing of nuclear fuel", -88.2809, 184.8638
 4, "Manufacturing", 2411, "Manufacture of industrial gases", 39.4828, 29.7280
 4, "Manufacturing", 2412, "Manufacture of dyes and pigments", NaN, NaN
 4, "Manufacturing", 2413, "Manufacture of other inorganic basic chemicals", 110.5373, 199.7485
 4, "Manufacturing", 2414, "Manufacture of other organic basic chemicals", -74.0481, 99.7022
 4, "Manufacturing", 2415, "Manufacture of fertilizers and nitrogen compounds", 229.5738, -141.5340
