source, target, weight; 
 111, 112, 0.775000
 111, 113, 0.885700
 111, 121, 0.978900
 111, 122, 0.920400
 111, 123, 0.972800
 111, 124, 0.510200
 111, 125, 0.566600
 111, 130, 0.974000
 111, 141, 0.809800
 111, 142, 0.907400
 111, 201, 0.443800
 111, 202, 0.801300
 111, 501, -0.612400
 111, 502, -0.614600
 111, 1120, -0.669400
 111, 1412, -0.630700
 111, 1421, 0.199300
 111, 1422, -0.609900
 111, 1511, -0.414500
 111, 1512, 0.026700
 111, 1513, -0.178300
 111, 1520, -0.655300
 111, 1532, -0.682200
 111, 1533, 0.357800
 111, 1541, -0.259900
 111, 1542, -0.613300
 111, 1551, 0.202600
 111, 1552, -0.623000
 111, 1561, -0.297400
 111, 1571, 0.427400
 111, 1581, -0.530400
 111, 1582, -0.655700
 111, 1583, -0.614300
 111, 1589, -0.706900
 111, 1592, 0.170100
 111, 1593, -0.289100
 111, 1596, -0.678100
 111, 1598, -0.711200
 111, 1600, -0.637100
 111, 1711, -0.625200
 111, 1754, -0.390000
 111, 2010, 0.092700
 111, 2020, -0.693600
 111, 2030, -0.527600
 111, 2040, -0.384300
 111, 2111, -0.666500
 111, 2112, -0.760900
 111, 2122, -0.669900
 111, 2123, -0.639600
 111, 2125, -0.425500
 111, 2222, -0.732900
 111, 2225, -0.620500
 111, 2320, -0.705100
 111, 2414, -0.543700
 111, 2420, -0.227500
 111, 2430, -0.764400
 111, 2441, -0.712600
 111, 2442, -0.642500
 111, 2452, -0.715000
 111, 2466, -0.598700
 111, 2513, -0.775200
 111, 2521, -0.146400
 111, 2523, -0.378500
 111, 2524, -0.649200
 111, 2612, -0.378400
 111, 2613, -0.679700
 111, 2615, -0.678400
 111, 2622, -0.635200
 111, 2640, -0.668400
 111, 2651, -0.281500
 111, 2661, -0.179500
 111, 2663, -0.727800
 111, 2664, -0.620600
 111, 2665, -0.264300
 111, 2666, -0.696300
 111, 2670, -0.742100
 111, 2710, -0.748100
 111, 2722, -0.536600
 111, 2731, -0.658600
 111, 2745, -0.434300
 111, 2753, -0.742500
 111, 2811, -0.498100
 111, 2821, -0.718000
 111, 2840, -0.539200
 111, 2851, -0.681900
 111, 2852, -0.497500
 111, 2874, -0.494500
