source, target, weight; 
 111, 112, 0.627452
 111, 113, 0.219787
 111, 121, 0.696723
 111, 122, 0.303017
 111, 130, 0.919313
 111, 141, 0.763261
 111, 142, 0.390016
 111, 201, 0.105509
 111, 202, 0.106941
 111, 1030, 0.101153
 111, 1411, 0.213741
 111, 1511, 0.206648
 111, 1512, 0.100642
 111, 1513, 0.072475
 111, 1520, 0.294833
 111, 1531, 0.330540
 111, 1533, 0.312409
 111, 1589, 0.101867
 111, 1591, 0.205608
 111, 2030, 0.185024
 111, 2051, 0.108536
 111, 2121, 0.105650
 111, 2213, 0.101995
 111, 2523, 0.089415
 111, 2661, 0.104950
 111, 2682, 0.093174
 111, 2722, 0.108812
 111, 2811, 0.265790
 111, 2852, 0.251072
 111, 2875, 0.099042
 111, 2912, 0.096419
 111, 2922, 0.100928
 111, 2932, 0.203995
 111, 2953, 0.108459
 111, 3310, 0.131585
 111, 3420, 0.215827
 111, 3613, 0.104405
 111, 3710, 0.109664
 111, 4011, 0.096362
 111, 4511, 0.192844
 111, 4512, 0.108560
 111, 4521, 0.298366
 111, 4523, 0.643333
 111, 4525, 0.267573
 111, 4531, 0.188837
 111, 4533, 0.078131
 111, 4541, 0.067263
 111, 4542, 0.043977
 111, 4545, 0.188354
 111, 4550, 0.204076
 111, 5010, 0.284112
 111, 5020, 0.094660
 111, 5030, 0.225526
 111, 5050, 0.211491
 111, 5111, 0.285844
 111, 5114, 0.413050
 111, 5118, 0.101115
 111, 5121, 0.510197
 111, 5122, 0.106271
 111, 5123, 0.108979
 111, 5131, 0.779256
 111, 5132, 0.282443
 111, 5134, 0.088824
 111, 5139, 0.111866
 111, 5151, 0.096413
 111, 5153, 0.172975
 111, 5154, 0.306359
 111, 5156, 0.108789
 111, 5181, 0.195810
 111, 5182, 0.101242
 111, 5184, 0.054590
 111, 5186, 0.095939
 111, 5187, 0.174492
 111, 5188, 0.501092
 111, 5190, 0.228114
 111, 5211, -0.076415
 111, 5221, 0.424419
 111, 5225, 0.098016
 111, 5231, 0.111683
 111, 5242, -0.063953
 111, 5244, 0.041793
 111, 5245, 0.110153
 111, 5246, 0.044175
 111, 5247, 0.082400
 111, 5248, 0.072142
 111, 5263, 0.106057
 111, 5510, -0.014122
 111, 5530, -0.025844
 111, 5540, 0.065790
 111, 5552, 0.047633
 111, 6021, 0.098436
 111, 6024, 0.275525
 111, 6210, 0.094041
 111, 6311, 0.107063
 111, 6312, 0.293390
 111, 6323, 0.092625
 111, 6330, 0.143509
 111, 6340, 0.085775
 111, 6411, 0.086333
 111, 6420, 0.073765
 111, 6512, 0.010921
 111, 6601, 0.071052
 111, 6712, 0.079177
 111, 6713, 0.026990
 111, 7011, 0.320145
 111, 7020, 0.181551
 111, 7032, 0.077229
 111, 7132, 0.296182
 111, 7222, 0.000460
 111, 7411, 0.043534
 111, 7412, 0.043352
 111, 7414, 0.092959
 111, 7415, 0.103136
 111, 7420, 0.113793
 111, 7430, 0.088333
 111, 7450, -0.234378
 111, 7460, 0.100366
 111, 7470, -0.014026
 111, 7482, 0.289355
 111, 7485, 0.098883
 111, 7486, 0.017024
 111, 7487, 0.053321
 111, 7511, 0.103425
 111, 7512, -0.195250
 111, 8010, 0.050490
 111, 8021, 0.044959
 111, 8022, -0.064285
 111, 8030, 0.002166
 111, 8042, 0.185875
 111, 8511, 0.049032
 111, 8513, 0.194711
 111, 8514, -0.065320
 111, 8520, 0.089962
 111, 8531, 0.042487
 111, 8532, -0.012365
 111, 9002, 0.255471
 111, 9111, 0.097871
 111, 9112, 0.095531
 111, 9133, 0.145598
 111, 9220, 0.082483
 111, 9232, 0.077404
 111, 9261, 0.075544
 111, 9262, 0.336848
 111, 9301, 0.159006
 111, 9302, 0.061308
 111, 9304, 0.101055
 111, 9305, 0.094287
 112, 111, 0.762954
 112, 113, 0.623495
 112, 121, 0.618313
 112, 122, 0.131689
 112, 123, 0.510848
 112, 124, 0.603403
 112, 125, 0.107297
 112, 130, 0.854585
 112, 141, 0.795786
 112, 142, 0.277564
 112, 201, 0.460303
 112, 202, 0.536145
 112, 501, 0.103411
 112, 502, 0.275212
 112, 1030, 0.168976
 112, 1421, 0.112927
 112, 1450, 0.163962
 112, 1511, 0.748462
 112, 1512, 0.848745
 112, 1513, 0.768760
 112, 1520, 0.319611
 112, 1531, 0.257293
 112, 1532, 0.099143
 112, 1533, 0.520348
 112, 1551, 0.126485
 112, 1571, 0.334389
 112, 1572, 0.259502
 112, 1581, 0.352525
 112, 1582, 0.563520
 112, 1584, 0.638850
 112, 1587, 0.094800
 112, 1588, 0.169959
 112, 1589, 0.273669
 112, 1591, 0.161330
 112, 1594, 0.040208
 112, 1598, 0.548245
 112, 1716, 0.166582
 112, 1740, 0.115086
 112, 1822, 0.242016
 112, 1920, 0.105869
 112, 2010, 0.236567
 112, 2030, 0.333254
 112, 2040, 0.697095
 112, 2051, 0.202860
 112, 2112, 0.097851
 112, 2121, 0.120495
 112, 2123, 0.093207
 112, 2212, 0.083703
 112, 2213, 0.090075
 112, 2222, 0.142409
 112, 2414, 0.056686
 112, 2415, 0.523348
 112, 2416, 0.072434
 112, 2441, 0.016692
 112, 2442, -0.176544
 112, 2452, 0.038666
 112, 2513, 0.150981
 112, 2521, 0.100241
 112, 2522, 0.228600
 112, 2523, 0.206640
 112, 2524, 0.109956
 112, 2612, 0.194157
 112, 2614, 0.105228
 112, 2621, 0.212049
 112, 2661, 0.305548
 112, 2663, 0.105363
 112, 2666, 0.092804
 112, 2670, 0.071767
 112, 2682, 0.277620
 112, 2710, 0.221755
 112, 2722, 0.097695
 112, 2742, 0.084155
 112, 2751, 0.098905
 112, 2811, 0.276716
 112, 2812, -0.007839
 112, 2821, 0.260292
 112, 2840, 0.301946
 112, 2852, 0.155368
 112, 2862, 0.051410
 112, 2872, 0.109238
 112, 2873, 0.168328
 112, 2875, 0.177276
 112, 2912, 0.081766
 112, 2913, 0.105883
 112, 2921, 0.207359
 112, 2922, 0.154554
 112, 2923, 0.091863
 112, 2924, 0.006489
 112, 2932, 0.129442
 112, 2942, 0.104050
 112, 2943, 0.091096
 112, 2952, 0.104196
 112, 2972, 0.094666
 112, 3002, -0.124779
 112, 3110, 0.075882
 112, 3120, 0.053937
 112, 3220, 0.073951
 112, 3230, 0.166446
 112, 3310, -0.170621
 112, 3320, 0.191106
 112, 3340, 0.006187
 112, 3420, 0.106507
 112, 3430, 0.165843
 112, 3530, 0.093867
 112, 3611, 0.093747
 112, 3612, 0.218227
 112, 3613, -0.014409
 112, 3614, 0.436480
 112, 3615, 0.091820
 112, 3650, 0.196232
 112, 3661, 0.096529
 112, 3663, 0.014557
 112, 3710, 0.088030
 112, 3720, 0.310181
 112, 4011, 0.074810
 112, 4511, 0.065599
 112, 4512, 0.129512
 112, 4521, -0.051706
 112, 4522, 0.176321
 112, 4523, 0.176227
 112, 4525, 0.139116
 112, 4531, -0.138344
 112, 4532, 0.254369
 112, 4533, 0.069445
 112, 4534, 0.084856
 112, 4541, 0.227000
 112, 4542, 0.055624
 112, 4543, 0.210250
 112, 4544, 0.179641
 112, 4545, 0.209785
 112, 4550, 0.134165
 112, 5010, 0.242457
 112, 5020, 0.150253
 112, 5030, 0.033773
 112, 5050, 0.097451
 112, 5111, 0.204360
 112, 5112, 0.097184
 112, 5114, 0.169156
 112, 5117, 0.202089
 112, 5118, 0.088182
 112, 5121, 0.470907
 112, 5122, 0.944677
 112, 5123, 0.096493
 112, 5131, 0.891280
 112, 5132, 0.338743
 112, 5133, 0.128166
 112, 5134, 0.036418
 112, 5136, 0.040890
 112, 5137, 0.085279
 112, 5138, 0.651974
 112, 5139, 0.108912
 112, 5142, 0.155889
 112, 5143, 0.018902
 112, 5145, 0.062635
 112, 5146, -0.163024
 112, 5147, 0.087480
 112, 5151, 0.025738
 112, 5152, 0.094639
 112, 5153, -0.031480
 112, 5154, 0.031177
 112, 5155, 0.091229
 112, 5156, 0.082778
 112, 5157, 0.107933
 112, 5182, 0.020428
 112, 5185, 0.053527
 112, 5186, 0.035142
 112, 5187, 0.030240
 112, 5188, 0.221523
 112, 5190, 0.132950
 112, 5211, 0.144637
 112, 5212, -0.208872
 112, 5221, 0.886864
 112, 5222, 0.193729
 112, 5224, 0.046647
 112, 5225, 0.081850
 112, 5227, 0.448222
 112, 5231, -0.019831
 112, 5232, 0.044701
 112, 5241, 0.044371
 112, 5242, -0.488768
 112, 5243, -0.119203
 112, 5244, 0.034252
 112, 5245, -0.058748
 112, 5246, 0.033811
 112, 5247, 0.044560
 112, 5248, 0.043763
 112, 5250, 0.226420
 112, 5263, 0.262812
 112, 5274, 0.197322
 112, 5510, 0.253229
 112, 5521, 0.100562
 112, 5523, 0.056700
 112, 5530, 0.257435
 112, 5540, -0.084707
 112, 5551, 0.088293
 112, 5552, -0.156822
 112, 6021, 0.082787
 112, 6022, 0.032285
 112, 6023, 0.176098
 112, 6024, 0.228095
 112, 6210, 0.026344
 112, 6311, 0.113275
 112, 6312, -0.039212
 112, 6321, 0.061122
 112, 6323, -0.067715
 112, 6330, -0.063253
 112, 6340, 0.026605
 112, 6411, -0.032220
 112, 6412, -0.045472
 112, 6420, -0.054379
 112, 6512, -0.502395
 112, 6521, 0.004119
 112, 6522, 0.002765
 112, 6523, 0.010022
 112, 6601, -0.110747
 112, 6602, 0.091413
 112, 6603, -0.074297
 112, 6712, 0.033052
 112, 6713, -0.308448
 112, 6720, -0.113429
 112, 7011, -0.040143
 112, 7012, 0.090708
 112, 7020, -0.140895
 112, 7031, 0.027318
 112, 7032, -0.122666
 112, 7110, 0.156176
 112, 7123, 0.090017
 112, 7131, 0.106095
 112, 7132, 0.121995
 112, 7134, 0.082641
 112, 7140, -0.034494
 112, 7210, -0.019675
 112, 7221, -0.090402
 112, 7222, -0.197230
 112, 7250, 0.046556
 112, 7260, -0.060542
 112, 7310, 0.016224
 112, 7411, -0.136738
 112, 7412, -0.143182
 112, 7414, -0.223578
 112, 7415, 0.083267
 112, 7420, -0.298257
 112, 7430, -0.004252
 112, 7440, -0.005497
 112, 7450, -0.157110
 112, 7460, -0.170476
 112, 7470, 0.497026
 112, 7482, 0.606287
 112, 7485, 0.070163
 112, 7486, -0.231231
 112, 7487, -0.183336
 112, 7511, -0.349037
 112, 7512, -0.555617
 112, 7513, 0.022762
 112, 7514, -0.012192
 112, 7521, 0.048769
 112, 7522, 0.067239
 112, 7523, -0.171983
 112, 7530, -0.076322
 112, 8010, -0.299921
 112, 8021, -0.130598
 112, 8022, -0.189623
 112, 8030, -0.571944
 112, 8042, -0.230299
 112, 8511, -0.213566
 112, 8512, -0.051637
 112, 8513, 0.078534
 112, 8514, -0.236016
 112, 8520, 0.143237
 112, 8531, -0.091291
 112, 8532, -0.309952
 112, 9001, 0.060133
 112, 9002, 0.335997
 112, 9003, 0.142683
 112, 9111, 0.091257
 112, 9112, 0.090908
 112, 9131, 0.056122
 112, 9133, -0.139886
 112, 9211, -0.048183
 112, 9213, 0.113571
 112, 9220, -0.002945
 112, 9231, 0.033603
 112, 9232, 0.055591
 112, 9252, 0.171832
 112, 9253, 0.361831
 112, 9261, 0.096830
 112, 9262, -0.018090
 112, 9271, -0.190625
 112, 9272, 0.157368
 112, 9301, 0.553187
 112, 9302, -0.072471
 112, 9303, 0.078113
 112, 9304, 0.111927
 112, 9305, 0.017189
 112, 9500, 0.238450
 112, 9900, 0.094348
 113, 111, 0.541837
 113, 112, 0.640452
 113, 121, 0.301260
 113, 122, 0.103862
 113, 130, 0.612146
 113, 141, 0.363264
 113, 142, 0.092788
 113, 201, 0.109629
 113, 202, 0.545350
 113, 1030, 0.101558
 113, 1511, 0.469282
 113, 1512, 0.408258
 113, 1520, 0.308356
 113, 1531, 0.107794
 113, 1533, 0.215059
 113, 1551, 0.079161
 113, 1581, 0.169155
 113, 1584, 0.209460
 113, 1740, 0.106463
 113, 2010, 0.109592
 113, 2442, -0.003034
 113, 2466, 0.104074
 113, 2524, 0.213643
 113, 2710, 0.104009
 113, 2852, 0.064480
 113, 2923, 0.099710
 113, 3120, 0.096922
 113, 3310, 0.127798
 113, 3320, 0.099801
 113, 3340, 0.094977
 113, 3614, 0.106804
 113, 4011, 0.097617
 113, 4521, 0.187768
 113, 4523, 0.175107
 113, 4525, 0.053275
 113, 4531, 0.093633
 113, 4534, 0.106835
 113, 4542, 0.170948
 113, 5010, 0.171546
 113, 5020, 0.087184
 113, 5030, 0.097255
 113, 5050, 0.138751
 113, 5111, 0.105871
 113, 5122, 0.107591
 113, 5131, 0.626191
 113, 5132, 0.267210
 113, 5134, 0.108637
 113, 5138, 0.210343
 113, 5139, 0.164296
 113, 5143, 0.101448
 113, 5147, 0.086357
 113, 5153, 0.178414
 113, 5186, 0.106611
 113, 5211, 0.186849
 113, 5221, 0.108461
 113, 5222, 0.089335
 113, 5224, 0.104970
 113, 5227, 0.189484
 113, 5231, 0.159931
 113, 5242, -0.000946
 113, 5243, 0.077589
 113, 5244, 0.075710
 113, 5246, 0.155935
 113, 5247, 0.075710
 113, 5248, -0.030582
 113, 5510, 0.328401
 113, 5530, 0.050363
 113, 5540, 0.205467
 113, 5552, 0.021798
 113, 6024, 0.162613
 113, 6210, 0.100428
 113, 6311, 0.100762
 113, 6312, 0.167500
 113, 6321, 0.103590
 113, 6323, 0.099790
 113, 6512, 0.052395
 113, 6603, 0.045097
 113, 7020, 0.088985
 113, 7032, 0.072070
 113, 7411, 0.098229
 113, 7412, 0.106815
 113, 7413, 0.069282
 113, 7415, 0.131950
 113, 7430, 0.081857
 113, 7440, 0.065284
 113, 7450, 0.143772
 113, 7470, 0.234563
 113, 7482, 0.504454
 113, 7485, 0.106558
 113, 7487, 0.100133
 113, 7512, -0.013751
 113, 8010, -0.023754
 113, 8021, 0.100332
 113, 8030, 0.061293
 113, 8511, -0.004674
 113, 8514, -0.051575
 113, 8531, 0.095258
 113, 8532, -0.025303
 113, 9002, 0.197504
 113, 9213, 0.094443
 113, 9231, 0.100186
 113, 9261, 0.053644
 113, 9262, 0.119939
 113, 9272, 0.103632
 113, 9301, 0.079979
 113, 9302, 0.047813
 113, 9500, 0.094850
 121, 111, 0.412932
 121, 112, 0.532386
 121, 113, 0.100262
 121, 122, 0.910228
 121, 123, 0.843314
 121, 124, 0.205519
 121, 130, 0.965367
 121, 141, 0.895695
 121, 142, 0.930794
 121, 201, 0.095049
 121, 202, 0.092996
 121, 501, 0.211306
 121, 502, 0.193473
 121, 1030, 0.353664
 121, 1411, 0.299836
 121, 1421, 0.100262
 121, 1511, 0.452794
 121, 1512, 0.163427
 121, 1513, 0.240684
 121, 1533, 0.083348
 121, 1551, 0.544091
 121, 1552, 0.110349
 121, 1571, 0.658938
 121, 1581, 0.055597
 121, 1584, 0.083992
 121, 1589, 0.224604
 121, 1594, 0.091869
 121, 1598, 0.089735
 121, 1740, 0.104322
 121, 1752, 0.107418
 121, 1824, 0.107371
 121, 2010, 0.098497
 121, 2020, 0.104904
 121, 2051, 0.099398
 121, 2213, 0.082457
 121, 2222, 0.074943
 121, 2320, 0.109249
 121, 2415, 0.201197
 121, 2441, 0.134398
 121, 2442, 0.048946
 121, 2466, 0.080121
 121, 2521, 0.203175
 121, 2523, 0.140363
 121, 2524, 0.137095
 121, 2661, 0.061209
 121, 2663, 0.079287
 121, 2666, 0.106214
 121, 2670, 0.101909
 121, 2682, 0.059050
 121, 2710, 0.184671
 121, 2811, 0.103998
 121, 2821, 0.048522
 121, 2852, 0.222629
 121, 2912, 0.174020
 121, 2922, 0.169600
 121, 2924, 0.045844
 121, 2932, 0.365595
 121, 2943, 0.097775
 121, 2952, 0.106356
 121, 2956, 0.096264
